"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: при неверной почте возвращается ошибка 401","1570","Тест получения кода 401 при неверной почте","tests","Fri Aug 01 15:13:50 GMT 2025","passed","Fri Aug 01 15:13:52 GMT 2025","TestLogin","test_login","",""
"Проверка, что авторизация успешна и возвращается токен","1262","Тест получения токена при успешной авторизации","tests","Fri Aug 01 15:13:46 GMT 2025","passed","Fri Aug 01 15:13:47 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 2, 'locale': 'ru'}","1261","Тест получения измененного значения способа отображения списков событий","tests","Fri Aug 01 15:14:14 GMT 2025","passed","Fri Aug 01 15:14:15 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'locale': 'ru'}","631","Тест получения текста ошибки для каждого типа недостающих данных","tests","Fri Aug 01 15:14:38 GMT 2025","passed","Fri Aug 01 15:14:39 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'JONN koner', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 0, 'locale': 'ru'}","637","Тест получения текста ошибки при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:33 GMT 2025","passed","Fri Aug 01 15:14:33 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","637","Тест получения 'errors' при отправке запроса на обновление данных без обязательных ключей","tests","Fri Aug 01 15:14:25 GMT 2025","passed","Fri Aug 01 15:14:26 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'en'}","1279","Тест получения измененного значения после изменения языковых настроек","tests","Fri Aug 01 15:14:05 GMT 2025","passed","Fri Aug 01 15:14:06 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'jp'}","658","Тест невозможности внести некорретные данные в языковые настройки","tests","Fri Aug 01 15:14:16 GMT 2025","passed","Fri Aug 01 15:14:16 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 0, 'locale': 'ru'}","622","Тест получения 422 при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:29 GMT 2025","passed","Fri Aug 01 15:14:29 GMT 2025","TestUpdate","test_update_data","",""
"Проверка: при авторизации под существующим пользователем, возвращается 200","1265","Тест получения кода 200, при авторизации текущего пользователя","tests","Fri Aug 01 15:13:45 GMT 2025","passed","Fri Aug 01 15:13:46 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': -1, 'locale': 'ru'}","620","Тест получения 422 при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:28 GMT 2025","passed","Fri Aug 01 15:14:28 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'pt'}","1295","Тест получения измененного значения после изменения языковых настроек","tests","Fri Aug 01 15:14:07 GMT 2025","passed","Fri Aug 01 15:14:08 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","623","Тест получения кода 422 при отправке запроса на обновление данных без обязательных ключей","tests","Fri Aug 01 15:14:21 GMT 2025","passed","Fri Aug 01 15:14:22 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 3, 'locale': 'ru'}","614","Тест получения 422 при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:30 GMT 2025","passed","Fri Aug 01 15:14:31 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","694","Тест получения кода 200 после изменения языковых настроек","tests","Fri Aug 01 15:13:57 GMT 2025","passed","Fri Aug 01 15:13:58 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'locale': 'ru'}","624","Тест получения 'errors' при отправке запроса на обновление данных без обязательных ключей","tests","Fri Aug 01 15:14:26 GMT 2025","passed","Fri Aug 01 15:14:27 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","623","Тест получения текста ошибки для каждого типа недостающих данных","tests","Fri Aug 01 15:14:35 GMT 2025","passed","Fri Aug 01 15:14:36 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'JONN koner', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 3, 'locale': 'ru'}","622","Тест получения текста ошибки при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:34 GMT 2025","passed","Fri Aug 01 15:14:35 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'JONN koner', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': -1, 'locale': 'ru'}","631","Тест получения текста ошибки при отправке недопустимых значений способа отображения списков событий","tests","Fri Aug 01 15:14:31 GMT 2025","passed","Fri Aug 01 15:14:32 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'pt'}","721","Тест получения кода 200 после изменения языковых настроек","tests","Fri Aug 01 15:14:01 GMT 2025","passed","Fri Aug 01 15:14:01 GMT 2025","TestUpdate","test_update_data","",""
"Проверка, что при запросе c несуществущим логином получим текст ошибки","787","Тест получения текста ошибки при вводе неверного логина","tests","Fri Aug 01 15:13:52 GMT 2025","passed","Fri Aug 01 15:13:53 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'locale': 'ru'}","633","Тест получения кода 422 при отправке запроса на обновление данных без обязательных ключей","tests","Fri Aug 01 15:14:22 GMT 2025","passed","Fri Aug 01 15:14:23 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","627","Тест получения кода 422 при отправке запроса на обновление данных без обязательных ключей","tests","Fri Aug 01 15:14:20 GMT 2025","passed","Fri Aug 01 15:14:20 GMT 2025","TestUpdate","test_update_data","",""
